RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,52372,Cameron Champ,317.2,16495,52
2,0,59095,Chris Gotterup,315.8,18316,58
3,0,28237,Rory McIlroy,314.2,19483,62
4,0,47663,Kevin Dougherty,313.9,17579,56
5,2,33948,Byeong Hun An,312.5,26876,86
6,0,51766,Wyndham Clark,312.2,19357,62
7,-2,38991,Alejandro Tosti,312.1,18724,60
8,10,37378,Min Woo Lee,311.3,18675,60
9,3,40250,Taylor Pendrith,310.6,18633,60
9,-1,55454,Carl Yuan,310.6,18014,58
11,-1,56149,Wilson Furr,309.9,13635,44
12,-3,27064,Jhonattan Vegas,309.8,16111,52
13,-3,51070,Vincent Norrman,309.3,18559,60
14,5,37212,Paul Barjon,309.1,12364,40
14,2,45242,Kevin Yu,309.1,17929,58
16,-2,34255,Joseph Bramlett,309.0,21010,68
16,4,59836,Pierceson Coody,309.0,15761,51
18,-3,50484,Hayden Springer,308.9,15752,51
18,-2,31323,Gary Woodland,308.9,17296,56
20,-7,54421,Garrick Higgo,308.4,21590,70
20,2,36799,Stephan Jaeger,308.4,22823,74
22,-1,35310,Lanto Griffin,307.9,17242,56
23,1,52453,Nicolai Højgaard,307.8,17854,58
23,0,48699,Callum Tarren,307.8,17236,56
25,0,52955,Ludvig Åberg,307.7,23997,78
26,0,51977,Max Greyserman,307.2,17513,57
27,1,51696,Rico Hoey,307.1,18427,60
27,3,39546,Keith Mitchell,307.1,23951,78
29,-2,47420,Jake Knapp,307.0,25787,84
30,1,29936,Ryan Fox,306.8,17183,56
31,-2,55893,Sam Stevens,306.5,25747,84
32,-1,29725,Tony Finau,306.2,22661,74
32,4,46113,Ryan McCormick,306.2,14698,48
34,-1,33448,Justin Thomas,305.9,15293,50
35,-2,54576,Patrick Fishburn,305.6,13447,44
36,-1,51600,Jimmy Stanger,305.2,18006,59
37,1,36699,Patrick Rodgers,304.9,23174,76
38,1,28420,Ryan Brehm,304.5,18269,60
39,-3,32070,Rafael Campos,304.3,15521,51
40,1,48117,Kurt Kitayama,303.8,22480,74
41,-1,48867,Matti Schmid,303.5,21545,71
41,1,54328,Norman Xiong,303.5,13657,45
43,0,48081,Xander Schauffele,303.2,21221,70
44,4,50497,Adrien Dumont de Chassart,303.0,20601,68
45,0,34374,Erik Barnes,302.8,14836,49
45,0,59442,Parker Coody,302.8,20290,67
45,19,24502,Adam Scott,302.8,17560,58
48,1,34046,Jordan Spieth,302.7,19372,64
49,0,46442,Maverick McNealy,302.6,23599,78
49,3,58168,Davis Thompson,302.6,21784,72
51,-7,59143,Mac Meissner,302.5,15731,52
51,-2,51634,Sahith Theegala,302.5,24808,82
53,-1,47504,Sam Burns,302.3,18741,62
54,5,28089,Jason Day,302.1,21145,70
55,-8,59866,Nick Dunlap,302.0,17515,58
56,0,34213,Grayson Murray,301.6,17495,58
57,0,47679,Victor Perez,301.5,17791,59
57,22,46340,Alex Smalley,301.5,17489,58
59,-4,33653,Thomas Detry,301.4,19895,66
60,2,12716,Charley Hoffman,300.9,18053,60
60,7,50188,S.H. Kim,300.9,27078,90
60,2,57366,Cameron Young,300.9,23470,78
63,-2,33408,Tyson Alexander,300.7,22250,74
63,-9,52666,Sami Valimaki,300.7,16840,56
65,-8,32757,Patton Kizzire,300.5,12922,43
65,9,47347,Adam Schenk,300.5,28245,94
65,0,40006,Erik van Rooyen,300.5,22240,74
68,-8,32366,Kevin Chappell,300.4,12916,43
68,3,47995,Davis Riley,300.4,18626,62
68,9,27139,David Skinns,300.4,18022,60
68,6,51894,Vince Whaley,300.4,17726,59
72,-4,40098,Matt Fitzpatrick,300.3,22220,74
73,-2,49947,Taylor Moore,300.2,25816,86
74,-6,47988,Nick Hardy,300.1,23106,77
75,-7,32791,K.H. Lee,300.0,20398,68
76,4,39975,Michael Kim,299.9,21292,71
77,5,60067,Joe Highsmith,299.8,16488,55
78,-7,51997,Andrew Novak,299.7,20380,68
78,0,48887,Matt Wallace,299.7,19181,64
80,3,50493,Justin Suh,299.5,16770,56
81,12,27129,Luke List,299.3,23349,78
81,-16,23320,Ryan Palmer,299.3,14367,48
81,0,46046,Scottie Scheffler,299.3,20950,70
84,-1,33141,Keegan Bradley,299.1,19741,66
85,1,39977,Max Homa,298.8,22113,74
85,0,52215,Robert MacIntyre,298.8,17928,60
87,-1,29268,Bronson Burgoon,298.6,10748,36
88,2,34563,Chesson Hadley,298.5,14328,48
89,-1,52514,Trace Crowe,298.3,12232,41
89,0,34099,Harris English,298.3,24461,82
91,0,39997,Corey Conners,297.9,25621,86
92,0,56630,Akshay Bhatia,297.8,22632,76
93,1,48153,Matthieu Pavon,297.5,17254,58
94,1,45157,Cam Davis,297.3,19619,66
94,1,29420,Billy Horschel,297.3,17835,60
96,1,32367,Jorge Campillo,297.2,15155,51
97,1,32839,Hideki Matsuyama,296.9,23157,78
97,1,40115,Adam Svensson,296.9,24345,82
99,2,40162,Justin Lower,296.6,24323,82
100,2,33399,Adam Hadwin,296.3,19554,66
101,1,35461,Beau Hossler,296.1,20728,70
102,2,35450,Patrick Cantlay,296.0,18349,62
102,2,57362,Austin Eckroat,296.0,21313,72
102,2,32102,Rickie Fowler,296.0,20720,70
105,2,47591,Eric Cole,295.9,25444,86
105,4,34587,Chan Kim,295.9,22492,76
107,1,47483,Will Zalatoris,295.8,16563,56
108,-8,48119,Ben Taylor,295.7,13010,44
109,1,33204,Shane Lowry,295.4,16542,56
110,3,29221,Webb Simpson,295.3,14764,50
111,3,30926,Chris Kirk,295.2,19482,66
111,-1,57900,Chandler Phillips,295.2,18303,62
113,2,30911,Tommy Fleetwood,295.1,17116,58
113,-3,52374,Brandon Wu,295.1,18000,61
115,5,60004,Jacob Bridgeman,295.0,17701,60
116,0,35506,Mackenzie Hughes,294.9,24178,82
117,11,57975,Harry Hall,294.8,21225,72
118,2,55708,Hayden Buckley,294.6,17087,58
118,1,30692,Scott Stallings,294.6,12375,42
120,-4,33968,Thorbjørn Olesen,294.5,11781,40
120,-2,27330,Josh Teater,294.5,12664,43
122,8,54591,Ben Griffin,294.2,26481,90
123,-1,28252,Seamus Power,294.0,24107,82
124,-1,22405,Justin Rose,293.8,17040,58
125,0,51287,Ryo Hisatsune,293.6,20849,71
125,2,54628,Lee Hodges,293.6,21723,74
127,4,27349,Alex Noren,293.5,20544,70
128,3,34021,Bud Cauley,293.2,12900,44
128,-5,48319,Tom Whitney,293.2,17594,60
130,1,45609,Tyler Duncan,293.1,17293,59
131,5,33413,Ben Martin,293.0,19926,68
131,0,30163,Henrik Norlander,293.0,10548,36
133,1,29908,C.T. Pan,292.9,14646,50
134,1,34466,Peter Malnati,292.7,18147,62
134,-9,55789,Taylor Montgomery,292.7,18149,62
136,-7,27214,Kevin Streelman,292.5,11993,41
137,0,52513,Carson Young,292.1,19860,68
138,-1,40026,Daniel Berger,292.0,14014,48
138,3,35532,Tom Hoge,292.0,26281,90
138,2,55182,Tom Kim,292.0,21605,74
138,1,28775,Nate Lashley,292.0,17519,60
142,1,36871,Matt NeSmith,291.8,17217,59
143,-2,39971,Sungjae Im,291.6,20414,70
144,1,46414,Aaron Rai,291.3,22141,76
145,-1,36801,Mark Hubbard,291.1,25035,86
146,8,37455,Si Woo Kim,290.7,25002,86
146,1,51890,Greyson Sigg,290.7,19767,68
146,-1,39324,J.J. Spaun,290.7,16862,58
149,1,33486,Roger Sloan,290.5,12781,44
150,3,54783,Dylan Wu,290.2,20892,72
151,-2,34076,Joel Dahmen,290.0,20881,72
151,0,50525,Collin Morikawa,290.0,17982,62
151,0,49960,Sepp Straka,290.0,17980,62
154,3,24980,Scott Gutschewski,289.9,11596,40
155,-8,46441,Robby Shelton,289.8,18547,64
156,3,32640,Troy Merritt,289.6,19692,68
157,-2,47983,Chad Ramey,289.3,18514,64
157,-1,25493,Nick Taylor,289.3,21409,74
159,1,51349,Nico Echavarria,289.1,21969,76
159,-1,39327,Ben Silverman,289.1,20816,72
161,0,52375,Doug Ghim,288.3,20756,72
162,0,27644,Brian Harman,288.2,22481,78
163,0,31646,Emiliano Grillo,287.8,23597,82
164,3,47079,Harrison Endycott,287.7,13523,47
165,-1,49771,J.T. Poston,287.3,21260,74
166,-1,27936,Martin Laird,286.8,18069,63
166,0,36326,David Lipsky,286.8,16061,56
168,0,34098,Russell Henley,286.3,21184,74
168,0,47993,Denny McCarthy,286.3,23474,82
170,0,25900,Lucas Glover,286.2,22323,78
171,0,37275,Sam Ryder,285.6,18850,66
172,1,45522,Christiaan Bezuidenhout,285.2,19966,70
173,-1,26596,Ryan Moore,284.8,17087,60
174,-1,26476,Chez Reavie,284.5,14794,52
175,0,23108,Matt Kuchar,284.3,11941,42
176,2,36884,Ben Kohles,283.6,16448,58
177,4,47806,Raul Pereda,282.5,11298,40
177,0,27770,Camilo Villegas,282.5,14123,50
179,-3,29478,Kevin Kisner,282.4,11294,40
180,-1,22371,Aaron Baddeley,282.3,20328,72
180,1,24024,Zach Johnson,282.3,11290,40
180,0,27649,Brandt Snedeker,282.3,14681,52
183,0,34256,Andrew Putnam,281.9,19736,70
184,0,30927,Brendon Todd,276.7,21580,78
185,0,34310,Alexander Björk,276.0,14353,52
186,0,40058,Zac Blair,273.8,14239,52