RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,46046,Scottie Scheffler,74.76%,471,630,-0.40
2,0,27349,Alex Noren,73.02%,460,630,-0.28
3,0,39997,Corey Conners,72.09%,558,774,-0.28
4,0,45242,Kevin Yu,71.65%,374,522,-0.22
5,8,46414,Aaron Rai,71.35%,488,684,-0.30
6,-1,29725,Tony Finau,71.32%,475,666,-0.32
7,-1,47679,Victor Perez,71.30%,385,540,-0.28
8,-1,39546,Keith Mitchell,71.23%,500,702,-0.30
9,3,35310,Lanto Griffin,70.83%,357,504,-0.28
10,-2,29420,Billy Horschel,70.74%,382,540,-0.30
11,7,33948,Byeong Hun An,70.67%,547,774,-0.34
12,-2,51766,Wyndham Clark,70.61%,394,558,-0.40
12,-2,36699,Patrick Rodgers,70.61%,483,684,-0.30
14,22,40026,Daniel Berger,70.37%,304,432,-0.24
14,-5,51070,Vincent Norrman,70.37%,380,540,-0.18
16,-1,27064,Jhonattan Vegas,70.30%,329,468,-0.29
17,3,34076,Joel Dahmen,70.06%,454,648,-0.23
17,0,30163,Henrik Norlander,70.06%,227,324,-0.27
19,28,32757,Patton Kizzire,69.95%,277,396,-0.30
20,-6,51634,Sahith Theegala,69.92%,516,738,-0.33
21,2,35532,Tom Hoge,69.88%,566,810,-0.34
22,-6,33141,Keegan Bradley,69.87%,415,594,-0.31
23,-6,27936,Martin Laird,69.62%,401,576,-0.28
24,35,32070,Rafael Campos,69.44%,325,468,-0.30
24,6,51696,Rico Hoey,69.44%,375,540,-0.29
24,2,51890,Greyson Sigg,69.44%,425,612,-0.21
27,-8,34256,Andrew Putnam,69.37%,437,630,-0.27
28,5,34021,Bud Cauley,69.19%,274,396,-0.23
29,34,24024,Zach Johnson,69.17%,249,360,-0.21
30,8,40162,Justin Lower,69.11%,510,738,-0.29
31,-10,30926,Chris Kirk,69.02%,410,594,-0.33
32,-5,37455,Si Woo Kim,68.99%,534,774,-0.33
32,-10,49947,Taylor Moore,68.99%,534,774,-0.28
34,-10,48081,Xander Schauffele,68.89%,434,630,-0.34
35,13,51349,Nico Echavarria,68.86%,471,684,-0.34
36,-11,49960,Sepp Straka,68.82%,384,558,-0.27
37,-2,52375,Doug Ghim,68.67%,445,648,-0.29
38,-11,52955,Ludvig Åberg,68.66%,482,702,-0.34
39,-10,33204,Shane Lowry,68.65%,346,504,-0.29
40,-9,52374,Brandon Wu,68.64%,383,558,-0.29
41,-9,32839,Hideki Matsuyama,68.38%,480,702,-0.30
42,0,51997,Andrew Novak,68.30%,418,612,-0.30
43,-9,57366,Cameron Young,68.23%,479,702,-0.33
44,0,58168,Davis Thompson,68.21%,442,648,-0.31
45,26,48887,Matt Wallace,68.06%,392,576,-0.31
46,-9,40006,Erik van Rooyen,68.02%,453,666,-0.34
47,13,27129,Luke List,67.95%,477,702,-0.31
48,-8,56630,Akshay Bhatia,67.84%,464,684,-0.32
49,-8,48153,Matthieu Pavon,67.82%,354,522,-0.32
49,62,46340,Alex Smalley,67.82%,354,522,-0.26
51,1,35461,Beau Hossler,67.78%,427,630,-0.28
51,32,27139,David Skinns,67.78%,366,540,-0.29
53,-9,39327,Ben Silverman,67.75%,439,648,-0.25
54,-11,49771,J.T. Poston,67.72%,451,666,-0.33
55,-9,34099,Harris English,67.62%,499,738,-0.32
56,-17,26596,Ryan Moore,67.59%,365,540,-0.22
56,-6,36871,Matt NeSmith,67.59%,365,540,-0.22
56,-8,48867,Matti Schmid,67.59%,438,648,-0.32
59,43,47663,Kevin Dougherty,67.46%,340,504,-0.28
59,26,47420,Jake Knapp,67.46%,510,756,-0.32
61,-6,36801,Mark Hubbard,67.44%,522,774,-0.34
62,-11,40098,Matt Fitzpatrick,67.42%,449,666,-0.35
63,0,28775,Nate Lashley,67.41%,364,540,-0.27
64,-12,25900,Lucas Glover,67.38%,473,702,-0.29
65,4,34046,Jordan Spieth,67.36%,388,576,-0.35
66,3,33413,Ben Martin,67.32%,412,612,-0.29
67,12,51287,Ryo Hisatsune,67.28%,436,648,-0.30
68,-7,34587,Chan Kim,67.25%,460,684,-0.30
69,-13,31646,Emiliano Grillo,67.21%,496,738,-0.33
70,-13,47504,Sam Burns,67.20%,375,558,-0.37
70,-13,30692,Scott Stallings,67.20%,254,378,-0.24
72,15,47347,Adam Schenk,67.14%,568,846,-0.30
73,1,36799,Stephan Jaeger,67.12%,447,666,-0.31
74,-20,47988,Nick Hardy,67.09%,471,702,-0.28
75,16,55182,Tom Kim,66.97%,446,666,-0.31
76,18,34563,Chesson Hadley,66.90%,289,432,-0.27
77,7,59836,Pierceson Coody,66.88%,313,468,-0.29
78,-17,57362,Austin Eckroat,66.82%,433,648,-0.32
79,-16,34255,Joseph Bramlett,66.67%,408,612,-0.26
79,-4,33653,Thomas Detry,66.67%,396,594,-0.32
79,-16,45609,Tyler Duncan,66.67%,360,540,-0.23
79,-3,52215,Robert MacIntyre,66.67%,360,540,-0.25
79,16,40250,Taylor Pendrith,66.67%,360,540,-0.33
84,-11,48117,Kurt Kitayama,66.37%,442,666,-0.31
85,5,37275,Sam Ryder,66.33%,394,594,-0.32
86,-23,51977,Max Greyserman,66.28%,346,522,-0.31
86,25,36884,Ben Kohles,66.28%,346,522,-0.23
88,8,55893,Sam Stevens,66.27%,501,756,-0.29
89,-13,51600,Jimmy Stanger,66.11%,357,540,-0.31
89,-17,48319,Tom Whitney,66.11%,357,540,-0.27
91,-9,27644,Brian Harman,66.10%,464,702,-0.34
92,15,59095,Chris Gotterup,66.09%,345,522,-0.28
93,-7,39977,Max Homa,65.92%,439,666,-0.32
94,-15,59442,Parker Coody,65.85%,403,612,-0.28
94,-16,28252,Seamus Power,65.85%,486,738,-0.27
96,32,47079,Harrison Endycott,65.74%,284,432,-0.27
96,14,54783,Dylan Wu,65.74%,426,648,-0.30
98,-10,30911,Tommy Fleetwood,65.71%,343,522,-0.30
99,-10,47483,Will Zalatoris,65.67%,331,504,-0.27
100,-19,33486,Roger Sloan,65.66%,260,396,-0.22
101,22,24502,Adam Scott,65.52%,342,522,-0.33
101,16,52513,Carson Young,65.52%,401,612,-0.28
103,-10,34098,Russell Henley,65.47%,436,666,-0.31
104,-13,54421,Garrick Higgo,65.40%,412,630,-0.32
105,-3,26476,Chez Reavie,65.38%,306,468,-0.23
106,7,32640,Troy Merritt,65.36%,400,612,-0.31
107,12,39324,J.J. Spaun,65.33%,341,522,-0.25
108,-7,52666,Sami Valimaki,65.28%,329,504,-0.31
109,-11,34466,Peter Malnati,65.23%,364,558,-0.27
109,-11,28237,Rory McIlroy,65.23%,364,558,-0.34
111,-14,59143,Mac Meissner,65.17%,305,468,-0.28
111,3,50484,Hayden Springer,65.17%,305,468,-0.33
113,-8,39975,Michael Kim,65.12%,422,648,-0.32
114,-6,29908,C.T. Pan,65.11%,293,450,-0.26
115,-9,12716,Charley Hoffman,65.00%,351,540,-0.33
116,-14,52372,Cameron Champ,64.96%,304,468,-0.28
116,21,46442,Maverick McNealy,64.96%,456,702,-0.33
118,4,34374,Erik Barnes,64.89%,292,450,-0.27
119,20,37378,Min Woo Lee,64.81%,350,540,-0.33
119,-11,30927,Brendon Todd,64.81%,455,702,-0.31
121,10,54591,Ben Griffin,64.69%,524,810,-0.31
122,-7,50525,Collin Morikawa,64.52%,360,558,-0.35
123,-7,40115,Adam Svensson,64.50%,476,738,-0.28
124,9,28089,Jason Day,64.44%,406,630,-0.35
124,-7,33448,Justin Thomas,64.44%,290,450,-0.33
124,22,38991,Alejandro Tosti,64.44%,348,540,-0.29
124,-24,27770,Camilo Villegas,64.44%,290,450,-0.26
128,-8,45157,Cam Davis,64.31%,382,594,-0.32
128,-8,33399,Adam Hadwin,64.31%,382,594,-0.34
130,19,32791,K.H. Lee,64.22%,393,612,-0.30
131,-7,35450,Patrick Cantlay,64.16%,358,558,-0.34
131,-1,47995,Davis Riley,64.16%,358,558,-0.31
133,-8,32102,Rickie Fowler,64.13%,404,630,-0.28
134,-8,54628,Lee Hodges,64.11%,427,666,-0.26
135,21,32367,Jorge Campillo,64.10%,300,468,-0.31
136,-1,50497,Adrien Dumont de Chassart,64.05%,392,612,-0.28
137,-10,25493,Nick Taylor,63.96%,426,666,-0.33
138,-7,60004,Jacob Bridgeman,63.89%,345,540,-0.33
139,3,29936,Ryan Fox,63.69%,321,504,-0.31
140,34,32366,Kevin Chappell,63.38%,251,396,-0.29
140,24,56149,Wilson Furr,63.38%,251,396,-0.26
140,-6,27330,Josh Teater,63.38%,251,396,-0.23
143,-8,47983,Chad Ramey,63.37%,365,576,-0.30
144,-6,33408,Tyson Alexander,63.36%,422,666,-0.32
145,17,37212,Paul Barjon,63.33%,228,360,-0.24
145,-5,45522,Christiaan Bezuidenhout,63.33%,399,630,-0.34
147,-4,57975,Harry Hall,63.27%,410,648,-0.31
148,-4,52453,Nicolai Højgaard,63.22%,330,522,-0.32
149,12,36326,David Lipsky,63.10%,318,504,-0.25
150,-10,46441,Robby Shelton,63.02%,363,576,-0.29
151,14,46113,Ryan McCormick,62.96%,272,432,-0.29
152,3,60067,Joe Highsmith,62.90%,317,504,-0.32
153,-25,54576,Patrick Fishburn,62.88%,249,396,-0.24
154,9,35506,Mackenzie Hughes,62.87%,464,738,-0.32
155,11,55708,Hayden Buckley,62.84%,328,522,-0.23
155,-8,34213,Grayson Murray,62.84%,328,522,-0.30
157,0,40058,Zac Blair,62.82%,294,468,-0.24
158,-10,50493,Justin Suh,62.70%,316,504,-0.28
159,-8,47993,Denny McCarthy,62.60%,462,738,-0.33
160,-8,47591,Eric Cole,62.53%,484,774,-0.32
161,-8,22405,Justin Rose,62.45%,326,522,-0.30
162,8,51894,Vince Whaley,62.41%,337,540,-0.29
163,4,27649,Brandt Snedeker,62.39%,292,468,-0.21
164,-11,57900,Chandler Phillips,62.37%,348,558,-0.30
165,-15,23320,Ryan Palmer,62.27%,269,432,-0.23
166,-8,39971,Sungjae Im,62.22%,392,630,-0.32
167,-22,27214,Kevin Streelman,62.17%,235,378,-0.29
168,-9,31323,Gary Woodland,62.10%,313,504,-0.28
169,-9,29221,Webb Simpson,61.78%,278,450,-0.30
170,-1,55454,Carl Yuan,61.69%,322,522,-0.28
171,0,22371,Aaron Baddeley,61.27%,397,648,-0.30
172,0,28420,Ryan Brehm,61.11%,330,540,-0.25
173,4,34310,Alexander Björk,60.90%,285,468,-0.25
174,4,54328,Norman Xiong,60.87%,252,414,-0.31
175,1,50188,S.H. Kim,60.74%,492,810,-0.37
176,5,33968,Thorbjørn Olesen,60.56%,218,360,-0.29
177,2,48699,Callum Tarren,60.12%,303,504,-0.29
178,-3,52514,Trace Crowe,60.05%,227,378,-0.32
179,-11,55789,Taylor Montgomery,59.86%,334,558,-0.30
180,-7,48119,Ben Taylor,59.34%,235,396,-0.22
181,1,29268,Bronson Burgoon,58.95%,191,324,-0.22
182,1,59866,Nick Dunlap,58.81%,307,522,-0.37
183,-3,23108,Matt Kuchar,58.73%,222,378,-0.27
184,0,29478,Kevin Kisner,58.06%,209,360,-0.21
185,0,24980,Scott Gutschewski,57.78%,208,360,-0.22
186,0,47806,Raul Pereda,52.50%,189,360,-0.24