RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,27349,Alex Noren,74.12%,126,170
2,0,30163,Henrik Norlander,71.13%,69,97
3,-1,47993,Denny McCarthy,70.65%,195,276
4,0,22371,Aaron Baddeley,70.52%,177,251
5,-2,48081,Xander Schauffele,70.41%,138,196
6,-1,46046,Scottie Scheffler,69.81%,111,159
7,1,47806,Raul Pereda,69.59%,119,171
8,-1,54591,Ben Griffin,68.53%,196,286
9,3,51890,Greyson Sigg,68.45%,128,187
10,0,35506,Mackenzie Hughes,67.88%,186,274
11,-2,22405,Justin Rose,67.86%,133,196
12,-1,46442,Maverick McNealy,67.48%,166,246
13,0,28089,Jason Day,67.41%,151,224
14,0,34256,Andrew Putnam,67.36%,130,193
15,0,52955,Ludvig Åberg,67.27%,148,220
16,0,45522,Christiaan Bezuidenhout,67.10%,155,231
17,0,30911,Tommy Fleetwood,67.04%,120,179
18,7,54576,Patrick Fishburn,66.67%,98,147
18,0,24024,Zach Johnson,66.67%,74,111
20,-14,55789,Taylor Montgomery,66.52%,149,224
21,-1,34466,Peter Malnati,66.49%,129,194
22,-1,37455,Si Woo Kim,66.25%,159,240
23,-1,34098,Russell Henley,66.09%,152,230
24,-1,32839,Hideki Matsuyama,65.77%,146,222
25,11,39327,Ben Silverman,65.55%,137,209
26,18,36799,Stephan Jaeger,65.30%,143,219
27,-1,39977,Max Homa,65.20%,148,227
28,-1,29420,Billy Horschel,65.19%,103,158
29,-1,48117,Kurt Kitayama,65.18%,146,224
30,19,35532,Tom Hoge,65.16%,159,244
31,-1,56630,Akshay Bhatia,65.00%,143,220
32,-1,51997,Andrew Novak,64.95%,126,194
33,16,32367,Jorge Campillo,64.88%,109,168
34,-16,56149,Wilson Furr,64.83%,94,145
35,-1,30927,Brendon Todd,64.78%,160,247
36,-7,34255,Joseph Bramlett,64.71%,132,204
37,0,28252,Seamus Power,64.68%,163,252
38,15,26596,Ryan Moore,64.57%,113,175
39,-15,34374,Erik Barnes,64.56%,102,158
40,-2,35450,Patrick Cantlay,64.50%,129,200
41,6,34310,Alexander Björk,64.48%,118,183
41,-2,47591,Eric Cole,64.48%,187,290
43,-3,28237,Rory McIlroy,64.43%,125,194
44,7,28775,Nate Lashley,64.20%,113,176
45,-3,50525,Collin Morikawa,64.14%,127,198
46,2,47347,Adam Schenk,64.03%,178,278
47,-2,51634,Sahith Theegala,63.96%,142,222
48,-16,34021,Bud Cauley,63.93%,78,122
49,10,29268,Bronson Burgoon,63.91%,85,133
50,27,40250,Taylor Pendrith,63.89%,115,180
51,-10,34587,Chan Kim,63.84%,143,224
52,-9,59442,Parker Coody,63.64%,133,209
53,-20,26476,Chez Reavie,63.58%,103,162
54,-2,52375,Doug Ghim,63.55%,129,203
55,4,55454,Carl Yuan,63.50%,127,200
56,-1,32791,K.H. Lee,63.47%,139,219
57,-1,27936,Martin Laird,63.43%,111,175
58,14,46414,Aaron Rai,63.27%,124,196
59,-5,23320,Ryan Palmer,63.19%,103,163
60,-14,29908,C.T. Pan,63.06%,99,157
61,-4,27644,Brian Harman,63.03%,150,238
62,3,50188,S.H. Kim,62.89%,200,318
63,7,24502,Adam Scott,62.78%,113,180
64,-6,39971,Sungjae Im,62.61%,149,238
65,27,59143,Mac Meissner,62.58%,102,163
66,-2,60004,Jacob Bridgeman,62.56%,122,195
66,14,35461,Beau Hossler,62.56%,127,203
68,-9,30926,Chris Kirk,62.50%,115,184
68,-9,48153,Matthieu Pavon,62.50%,105,168
68,-33,33486,Roger Sloan,62.50%,85,136
68,-9,25493,Nick Taylor,62.50%,150,240
72,-6,57900,Chandler Phillips,62.38%,131,210
73,11,33408,Tyson Alexander,62.30%,152,244
74,-7,45609,Tyler Duncan,62.22%,112,180
74,1,52215,Robert MacIntyre,62.22%,112,180
76,14,40058,Zac Blair,62.07%,108,174
77,-6,25900,Lucas Glover,62.01%,142,229
78,5,33413,Ben Martin,62.00%,124,200
79,-6,34099,Harris English,61.92%,148,239
80,43,39546,Keith Mitchell,61.88%,125,202
81,-7,47483,Will Zalatoris,61.85%,107,173
82,-6,47504,Sam Burns,61.75%,113,183
83,-4,29221,Webb Simpson,61.63%,106,172
84,-16,51894,Vince Whaley,61.58%,125,203
85,9,55893,Sam Stevens,61.57%,157,255
86,30,23108,Matt Kuchar,61.54%,96,156
87,-7,47079,Harrison Endycott,61.49%,91,148
87,-5,49960,Sepp Straka,61.49%,107,174
89,-12,51977,Max Greyserman,61.36%,108,176
90,7,32757,Patton Kizzire,61.34%,73,119
91,11,32640,Troy Merritt,61.32%,130,212
92,-8,40098,Matt Fitzpatrick,61.29%,133,217
93,-7,33448,Justin Thomas,61.25%,98,160
94,-1,51600,Jimmy Stanger,61.20%,112,183
95,-26,58168,Davis Thompson,61.17%,126,206
96,-8,32102,Rickie Fowler,61.06%,138,226
97,-8,49771,J.T. Poston,60.93%,131,215
98,-7,40115,Adam Svensson,60.69%,159,262
99,10,59095,Chris Gotterup,60.45%,107,177
100,-5,12716,Charley Hoffman,60.32%,114,189
100,12,36801,Mark Hubbard,60.32%,152,252
102,26,52514,Trace Crowe,60.26%,91,151
103,-7,54628,Lee Hodges,60.25%,144,239
104,30,36884,Ben Kohles,60.23%,106,176
105,-8,49947,Taylor Moore,60.00%,144,240
105,-8,47679,Victor Perez,60.00%,93,155
107,24,48887,Matt Wallace,59.78%,110,184
108,6,47663,Kevin Dougherty,59.76%,98,164
108,10,47420,Jake Knapp,59.76%,147,246
110,-4,57975,Harry Hall,59.66%,142,238
111,-1,51349,Nico Echavarria,59.62%,127,213
112,-8,33653,Thomas Detry,59.60%,118,198
113,16,52666,Sami Valimaki,59.43%,104,175
114,1,32366,Kevin Chappell,59.31%,86,145
114,6,47988,Nick Hardy,59.31%,137,231
116,16,34076,Joel Dahmen,59.28%,115,194
117,-6,57366,Cameron Young,59.19%,132,223
118,-15,34046,Jordan Spieth,59.04%,111,188
119,3,54783,Dylan Wu,59.01%,131,222
120,10,50484,Hayden Springer,58.90%,96,163
121,-5,30692,Scott Stallings,58.87%,73,124
122,-4,39997,Corey Conners,58.80%,127,216
123,3,32070,Rafael Campos,58.74%,84,143
123,-10,34563,Chesson Hadley,58.74%,84,143
123,-36,27214,Kevin Streelman,58.74%,84,143
126,-5,31646,Emiliano Grillo,58.68%,142,242
127,-20,27330,Josh Teater,58.62%,85,145
128,-28,24980,Scott Gutschewski,58.55%,89,152
129,-5,51766,Wyndham Clark,58.54%,96,164
130,-29,40162,Justin Lower,58.33%,133,228
131,-27,29478,Kevin Kisner,58.28%,88,151
132,14,55708,Hayden Buckley,58.25%,113,194
133,-25,55182,Tom Kim,58.18%,128,220
134,6,45242,Kevin Yu,58.11%,86,148
135,-10,28420,Ryan Brehm,58.10%,122,210
135,0,48867,Matti Schmid,58.10%,122,210
137,-11,51287,Ryo Hisatsune,58.02%,123,212
138,-2,52372,Cameron Champ,57.93%,95,164
139,-7,47983,Chad Ramey,57.82%,122,211
140,27,40026,Daniel Berger,57.81%,74,128
141,-4,45157,Cam Davis,57.55%,122,212
142,-3,39975,Michael Kim,57.52%,130,226
143,13,46113,Ryan McCormick,57.50%,92,160
144,-6,54328,Norman Xiong,57.41%,93,162
145,1,52513,Carson Young,57.35%,121,211
146,-3,54421,Garrick Higgo,57.34%,125,218
147,-5,27129,Luke List,57.33%,129,225
148,2,33948,Byeong Hun An,57.27%,130,227
149,-8,57362,Austin Eckroat,56.74%,122,215
150,15,47995,Davis Riley,56.50%,113,200
151,-7,40006,Erik van Rooyen,56.34%,120,213
152,-7,33204,Shane Lowry,56.33%,89,158
153,0,27139,David Skinns,56.32%,98,174
154,-6,36699,Patrick Rodgers,56.22%,113,201
155,-6,34213,Grayson Murray,56.19%,109,194
156,-6,33399,Adam Hadwin,56.13%,119,212
157,1,46441,Robby Shelton,55.87%,119,213
158,-3,27649,Brandt Snedeker,55.68%,98,176
159,-2,60067,Joe Highsmith,55.61%,104,187
160,-1,29725,Tony Finau,55.50%,106,191
161,-8,51696,Rico Hoey,55.15%,91,165
162,-1,37275,Sam Ryder,55.00%,110,200
163,-1,36871,Matt NeSmith,54.86%,96,175
163,9,52374,Brandon Wu,54.86%,96,175
165,-5,36326,David Lipsky,54.84%,102,186
166,2,48699,Callum Tarren,54.73%,110,201
167,6,27064,Jhonattan Vegas,54.68%,76,139
168,-16,48319,Tom Whitney,54.64%,100,183
169,2,27770,Camilo Villegas,54.38%,87,160
170,-6,38991,Alejandro Tosti,54.17%,104,192
171,3,39324,J.J. Spaun,54.14%,98,181
172,-9,51070,Vincent Norrman,53.75%,86,160
173,-4,59836,Pierceson Coody,53.55%,83,155
174,1,59866,Nick Dunlap,53.49%,115,215
175,-5,46340,Alex Smalley,52.98%,89,168
176,8,50497,Adrien Dumont de Chassart,52.73%,116,220
177,6,50493,Justin Suh,52.13%,98,188
178,7,33968,Thorbjørn Olesen,52.11%,74,142
179,3,29936,Ryan Fox,51.91%,95,183
180,-5,31323,Gary Woodland,51.83%,99,191
181,-3,37378,Min Woo Lee,51.58%,98,190
182,-5,48119,Ben Taylor,51.55%,83,161
183,-4,52453,Nicolai Højgaard,51.04%,98,192
184,-4,33141,Keegan Bradley,50.84%,91,179
185,-4,35310,Lanto Griffin,50.34%,74,147
186,0,37212,Paul Barjon,49.24%,65,132