RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,55789,Taylor Montgomery,0.887,25.713,29
2,3,34466,Peter Malnati,0.759,20.503,27
3,-1,22371,Aaron Baddeley,0.758,23.509,31
4,0,47806,Raul Pereda,0.746,9.696,13
5,3,50493,Justin Suh,0.744,17.114,23
6,-3,34310,Alexander Björk,0.726,18.151,25
7,0,47993,Denny McCarthy,0.717,25.799,36
8,1,51634,Sahith Theegala,0.710,24.835,35
9,1,51766,Wyndham Clark,0.679,19.002,28
10,2,45522,Christiaan Bezuidenhout,0.647,21.362,33
11,6,40250,Taylor Pendrith,0.601,15.018,25
12,1,27644,Brian Harman,0.596,21.447,36
13,-7,47983,Chad Ramey,0.592,15.992,27
14,1,29420,Billy Horschel,0.578,14.447,25
15,12,50188,S.H. Kim,0.558,20.631,37
16,2,33653,Thomas Detry,0.549,17.013,31
17,2,25493,Nick Taylor,0.522,17.763,34
18,2,30927,Brendon Todd,0.519,19.729,38
19,2,48153,Matthieu Pavon,0.502,11.536,23
20,2,31646,Emiliano Grillo,0.501,18.525,37
21,23,33408,Tyson Alexander,0.490,15.672,32
22,-8,34046,Jordan Spieth,0.484,14.027,29
23,0,28089,Jason Day,0.476,13.794,29
24,13,50484,Hayden Springer,0.462,8.775,19
25,3,35461,Beau Hossler,0.461,15.213,33
26,-1,52372,Cameron Champ,0.459,10.549,23
27,-3,34099,Harris English,0.458,16.019,35
28,-2,40098,Matt Fitzpatrick,0.443,14.186,32
29,37,24024,Zach Johnson,0.442,7.964,18
30,-14,24502,Adam Scott,0.408,9.789,24
31,3,47504,Sam Burns,0.379,10.613,28
32,22,35506,Mackenzie Hughes,0.373,14.556,39
33,-22,59836,Pierceson Coody,0.369,6.278,17
34,7,59095,Chris Gotterup,0.365,8.749,24
35,3,40006,Erik van Rooyen,0.356,11.397,32
36,3,56630,Akshay Bhatia,0.351,11.587,33
37,-5,46442,Maverick McNealy,0.339,12.550,37
38,10,54591,Ben Griffin,0.336,11.750,35
39,3,47591,Eric Cole,0.330,12.195,37
40,-7,60004,Jacob Bridgeman,0.323,6.776,21
41,4,34256,Andrew Putnam,0.321,10.922,34
42,4,48081,Xander Schauffele,0.315,9.138,29
43,4,34098,Russell Henley,0.311,9.963,32
44,5,49771,J.T. Poston,0.304,9.725,32
45,-9,37275,Sam Ryder,0.295,7.961,27
46,-16,35532,Tom Hoge,0.267,11.481,43
47,6,22405,Justin Rose,0.264,6.609,25
48,21,32366,Kevin Chappell,0.263,4.208,16
49,3,39327,Ben Silverman,0.257,7.447,29
50,9,27349,Alex Noren,0.256,7.693,30
50,-7,54328,Norman Xiong,0.256,4.609,18
52,-2,51349,Nico Echavarria,0.255,7.406,29
53,15,27936,Martin Laird,0.247,6.661,27
54,8,33413,Ben Martin,0.240,5.999,25
55,1,35450,Patrick Cantlay,0.229,5.720,25
56,35,23108,Matt Kuchar,0.221,4.412,20
57,-26,34563,Chesson Hadley,0.219,5.027,23
58,-23,54421,Garrick Higgo,0.209,5.863,28
59,-8,48887,Matt Wallace,0.205,6.348,31
60,0,47420,Jake Knapp,0.202,7.488,37
60,-5,47347,Adam Schenk,0.202,8.269,41
62,2,48867,Matti Schmid,0.192,5.191,27
63,7,36801,Mark Hubbard,0.186,6.864,37
64,-24,52514,Trace Crowe,0.169,2.361,14
65,9,59866,Nick Dunlap,0.163,4.243,26
66,14,39975,Michael Kim,0.153,4.135,27
67,12,40162,Justin Lower,0.152,5.464,36
68,-5,55893,Sam Stevens,0.145,4.794,33
69,11,32791,K.H. Lee,0.141,4.088,29
70,-12,52666,Sami Valimaki,0.138,3.735,27
71,0,47988,Nick Hardy,0.136,4.765,35
72,1,33399,Adam Hadwin,0.130,3.645,28
73,4,51977,Max Greyserman,0.123,2.461,20
74,22,54576,Patrick Fishburn,0.121,1.572,13
75,-1,52955,Ludvig Åberg,0.120,3.947,33
76,-4,47663,Kevin Dougherty,0.106,2.438,23
77,41,29478,Kevin Kisner,0.105,1.887,18
78,0,39977,Max Homa,0.103,3.202,31
79,-3,52375,Doug Ghim,0.093,2.894,31
80,17,54783,Dylan Wu,0.084,2.957,35
81,5,29936,Ryan Fox,0.081,1.862,23
82,-54,56149,Wilson Furr,0.072,1.087,15
83,6,28775,Nate Lashley,0.065,1.631,25
84,23,27139,David Skinns,0.063,1.567,25
85,40,46113,Ryan McCormick,0.061,1.043,17
86,-25,58168,Davis Thompson,0.047,1.454,31
87,1,28237,Rory McIlroy,0.045,1.159,26
88,-23,28420,Ryan Brehm,0.044,1.015,23
89,14,47995,Davis Riley,0.036,1.049,29
90,-6,36799,Stephan Jaeger,0.030,0.995,33
91,1,30911,Tommy Fleetwood,0.023,0.543,24
92,1,59143,Mac Meissner,0.019,0.353,19
93,-27,57900,Chandler Phillips,0.018,0.513,28
94,-12,34255,Joseph Bramlett,0.017,0.540,31
95,-1,46046,Scottie Scheffler,0.016,0.474,30
96,-1,36699,Patrick Rodgers,0.007,0.235,36
97,20,51287,Ryo Hisatsune,0.006,0.186,29
98,62,51894,Vince Whaley,-0.007,-0.150,21
99,7,46414,Aaron Rai,-0.023,-0.698,31
100,-17,29908,C.T. Pan,-0.028,-0.705,25
101,38,32070,Rafael Campos,-0.031,-0.529,17
102,6,55182,Tom Kim,-0.032,-1.020,32
103,8,51997,Andrew Novak,-0.047,-1.554,33
104,0,30163,Henrik Norlander,-0.051,-0.513,10
104,-3,49960,Sepp Straka,-0.051,-1.277,25
106,4,57975,Harry Hall,-0.056,-1.732,31
107,17,27129,Luke List,-0.057,-1.880,33
108,-6,45157,Cam Davis,-0.058,-1.634,28
109,-10,52513,Carson Young,-0.059,-1.826,31
110,-25,34374,Erik Barnes,-0.063,-1.258,20
111,-21,51600,Jimmy Stanger,-0.074,-1.546,21
112,28,32757,Patton Kizzire,-0.097,-1.556,16
113,-4,12716,Charley Hoffman,-0.098,-2.454,25
114,-14,55708,Hayden Buckley,-0.109,-2.721,25
115,-28,52374,Brandon Wu,-0.116,-2.556,22
116,-3,49947,Taylor Moore,-0.130,-4.818,37
117,-3,34213,Grayson Murray,-0.131,-3.142,24
118,-3,54628,Lee Hodges,-0.134,-4.433,33
119,-3,57362,Austin Eckroat,-0.138,-4.557,33
120,10,33948,Byeong Hun An,-0.140,-5.307,38
121,-1,46441,Robby Shelton,-0.154,-4.789,31
122,-18,32367,Jorge Campillo,-0.167,-3.347,20
123,-11,59442,Parker Coody,-0.168,-4.536,27
124,-3,39971,Sungjae Im,-0.179,-5.555,31
125,-2,57366,Cameron Young,-0.182,-6.188,34
126,5,33968,Thorbjørn Olesen,-0.197,-3.155,16
127,28,47079,Harrison Endycott,-0.205,-3.081,15
128,-23,48119,Ben Taylor,-0.211,-4.425,21
129,-3,48117,Kurt Kitayama,-0.213,-6.811,32
129,-31,48319,Tom Whitney,-0.213,-4.475,21
131,-4,33486,Roger Sloan,-0.214,-3.209,15
131,-10,48699,Callum Tarren,-0.214,-4.930,23
133,35,32640,Troy Merritt,-0.228,-5.701,25
134,-6,32102,Rickie Fowler,-0.244,-7.305,30
135,-16,34587,Chan Kim,-0.262,-7.600,29
136,18,27649,Brandt Snedeker,-0.294,-6.753,23
137,-4,47679,Victor Perez,-0.295,-6.196,21
137,-5,27770,Camilo Villegas,-0.295,-5.602,19
139,4,35310,Lanto Griffin,-0.308,-7.082,23
140,-5,50525,Collin Morikawa,-0.312,-7.806,25
141,-7,28252,Seamus Power,-0.317,-12.365,39
142,17,37378,Min Woo Lee,-0.323,-8.070,25
143,-2,37455,Si Woo Kim,-0.329,-12.500,38
144,0,40058,Zac Blair,-0.330,-8.257,25
145,-3,33204,Shane Lowry,-0.343,-7.899,23
146,11,52215,Robert MacIntyre,-0.356,-8.895,25
147,-18,26476,Chez Reavie,-0.358,-7.515,21
148,-10,60067,Joe Highsmith,-0.374,-7.864,21
149,-3,30926,Chris Kirk,-0.383,-10.726,28
150,-5,39546,Keith Mitchell,-0.385,-14.245,37
151,-2,32839,Hideki Matsuyama,-0.395,-13.035,33
152,-2,47483,Will Zalatoris,-0.397,-9.131,23
153,-2,29221,Webb Simpson,-0.405,-9.732,24
154,-18,55454,Carl Yuan,-0.407,-10.592,26
155,-19,34021,Bud Cauley,-0.426,-8.515,20
156,8,36871,Matt NeSmith,-0.430,-10.749,25
157,-1,33448,Justin Thomas,-0.431,-9.473,22
158,0,52453,Nicolai Højgaard,-0.440,-9.247,21
159,3,29725,Tony Finau,-0.468,-14.510,31
160,3,39997,Corey Conners,-0.472,-17.934,38
161,3,40115,Adam Svensson,-0.478,-18.660,39
162,-10,27214,Kevin Streelman,-0.491,-7.857,16
163,6,29268,Bronson Burgoon,-0.494,-8.401,17
164,16,36884,Ben Kohles,-0.499,-10.984,22
165,-13,39324,J.J. Spaun,-0.505,-13.641,27
166,11,50497,Adrien Dumont de Chassart,-0.523,-13.074,25
167,0,30692,Scott Stallings,-0.543,-10.850,20
168,2,25900,Lucas Glover,-0.568,-19.309,34
169,-21,38991,Alejandro Tosti,-0.585,-15.790,27
170,1,45609,Tyler Duncan,-0.591,-13.586,23
171,-5,36326,David Lipsky,-0.601,-15.019,25
172,1,51890,Greyson Sigg,-0.606,-17.575,29
173,-12,37212,Paul Barjon,-0.611,-9.162,15
174,-28,24980,Scott Gutschewski,-0.642,-8.345,13
175,-1,33141,Keegan Bradley,-0.655,-17.683,27
176,-4,45242,Kevin Yu,-0.661,-16.529,25
177,1,23320,Ryan Palmer,-0.686,-13.712,20
178,-2,31323,Gary Woodland,-0.690,-17.243,25
179,-4,26596,Ryan Moore,-0.714,-20.698,29
180,5,40026,Daniel Berger,-0.800,-13.603,17
181,0,51696,Rico Hoey,-0.858,-18.019,21
182,4,46340,Alex Smalley,-0.935,-21.503,23
183,-4,27330,Josh Teater,-0.939,-14.092,15
184,-2,27064,Jhonattan Vegas,-0.998,-20.952,21
185,-1,34076,Joel Dahmen,-1.006,-27.169,27
186,-3,51070,Vincent Norrman,-1.071,-31.065,29